Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,3,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,83.67422375998868,84.6742563000007,84.6742563000007,None,5.9609375,2.293880999990506,84.6742563000007,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,3,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,86.00770192000783,None,86.97555929998634,None,5.9609375,1.2685557999939192,86.97555929998634,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,3,0,13,13,33,,,,,,,,,,,,,,,,,,,,,,,87.3075575200026,None,88.29071979998844,None,5.9609375,1.3139650000084657,88.29071979998844,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,3,0,14,14,24,,,,,,,,,,,,,,,,,,,,,,,88.64101866000274,89.64043569998466,89.64043569998466,None,5.9609375,1.4070898999925703,89.64043569998466,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,1,1,3,0,15,15,25,,,,,,,,,,,,,,,,,,,,,,,90.10794948000985,91.10789139999542,91.10789139999542,None,5.9609375,1.1422930999833625,91.10789139999542,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,3,0,16,16,23,,,,,,,,,,,,,,,,,,,,,,,91.27403295999684,92.273856099986,92.273856099986,None,5.9609375,1.4751255000010133,92.273856099986,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,1,1,3,0,17,17,10,,,,,,,,,,,,,,,,,,,,,,,92.77437086000864,93.77433149999706,93.77433149999706,None,5.9609375,1.2057747000071686,93.77433149999706,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,3,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,94.02438522000449,None,95.00832629998331,None,5.9609375,1.2148904000059702,95.00832629998331,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,3,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,95.27421181999381,None,96.25735900001018,None,5.9609375,1.2632194999896456,96.25735900001018,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,3,0,20,20,9,,,,,,,,,,,,,,,,,,,,,,,96.62431070000457,None,97.61396799999056,None,5.9609375,1.6768636000051629,97.61396799999056,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
