Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,1,0,11,11,32,,,,,,,,,,,,,,,,,,,,,,,77.58328204000136,None,78.5663169999898,None,5.947916666666666,1.2156751999864355,78.5663169999898,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,1,0,12,12,24,,,,,,,,,,,,,,,,,,,,,,,78.81658576999617,None,79.81655809999211,None,5.947916666666666,1.3106009000039194,79.81655809999211,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,1,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,80.15019066998794,81.1499019000039,81.13330009998754,None,5.947916666666666,1.1956013000162784,81.13330009998754,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,1,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,81.38327093999251,None,82.36644300000626,None,5.947916666666666,1.1630549999827053,82.36644300000626,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,82.56673426999187,83.56618180000805,83.56618180000805,None,5.947916666666666,1.4247794999973848,83.56618180000805,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,1,0,16,16,30,,,,,,,,,,,,,,,,,,,,,,,84.01667397001002,85.01825799999642,85.00175820000004,None,5.947916666666666,1.214008900016779,85.00175820000004,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,1,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,85.25021426999884,86.24966370000038,86.24966370000038,None,5.947916666666666,1.1426199999987148,86.24966370000038,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,1,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,86.43342324000551,None,87.41649199998938,None,5.947916666666666,1.133072299999185,87.41649199998938,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,1,0,19,19,21,,,,,,,,,,,,,,,,,,,,,,,87.58346786999319,None,88.56644019999658,None,5.947916666666666,1.3136874999909196,88.56644019999658,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,1,0,20,20,3,,,,,,,,,,,,,,,,,,,,,,,88.94964740999568,None,89.91644559998531,None,5.947916666666666,1.1537866000144277,89.91644559998531,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
